abilityID,classID,name,type,masteryPathID,masteryRank,apCost,channeled,castTime,cooldown,range,buffType,tooltipText,iconID
9369,1048576,Anger Drives Me,,2,11,0,FALSE,0,0,0,,,22704
9382,1048576,Armor of Eternal Servitude,,0,0,0,FALSE,0,60,0,,,11042
9381,1048576,"Away, Cretins!",,0,0,0,FALSE,0,60,0,,,11041
9380,1048576,Banish Weakness,,0,0,0,FALSE,0,60,0,,,11040
9342,1048576,Blade of Ruin,,1,5,0,FALSE,0,10,5,,,11031
9387,1048576,Blast of Hatred,,1,15,0,FALSE,0,60,0,,,11044
9350,1048576,Bolstering Anger,,3,13,0,FALSE,0,60,0,,,11039
9324,1048576,Brutal Smash,,3,0,35,FALSE,0,5,5,,,11017
9334,1048576,Chains of Hatred,,0,0,30,FALSE,0,60,0,,,11027
9332,1048576,Challenge,,0,0,30,FALSE,0,30,0,,,11025
9349,1048576,Choking Fury,,3,5,0,FALSE,0,20,5,,,11038
9344,1048576,Crimson Death,,1,13,0,FALSE,0,10,0,,,11033
9318,1048576,Crippling Anger,,1,0,25,FALSE,0,5,5,,,11011
9333,1048576,Crush The Weak,,2,0,30,FALSE,0,5,5,,,11026
9370,1048576,Crush Vitality,,0,0,0,FALSE,0,0,0,,,22702
9327,1048576,Crushing Anger,,3,0,35,FALSE,0,10,5,,,11020
9338,1048576,Dark Protector,,0,0,0,FALSE,0,1,160,,,11501
9319,1048576,Driven By Hate,,0,0,0,FALSE,0,20,0,,,11012
9357,1048576,Efficient Slaughter,,0,0,0,FALSE,0,0,0,,,22702
9347,1048576,Elite Training,,3,9,25,FALSE,0,30,0,,,11036
9359,1048576,Endless Pursuit,,0,0,0,FALSE,0,0,0,,,22702
9343,1048576,Enraged Beating,,1,9,25,TRUE,3,8,5,,,11032
9328,1048576,Exile,,2,0,30,FALSE,0,20,5,,,11021
9368,1048576,Feeding On Pain,,2,7,0,FALSE,0,0,0,,,22701
9316,1048576,Feeding On Weakness,,2,0,30,FALSE,0,5,5,,,11009
9366,1048576,Filled With Fury,,1,7,0,FALSE,0,0,0,,,22702
9346,1048576,Force of Fury,,2,9,0,FALSE,0,20,0,,,11035
9331,1048576,Furious Howl,,3,0,0,FALSE,0,10,0,,,11024
9325,1048576,Guard,,0,0,0,FALSE,0,0,150,,,11018
9367,1048576,Hastened Doom,,1,11,0,FALSE,0,0,0,,,22702
9315,1048576,Hateful Strike,,2,0,30,FALSE,0,0,5,,,11008
295,1048576,Hatred Master,,0,0,0,FALSE,0,0,0,,,4421
9326,1048576,Hold The Line!,,0,0,20,TRUE,12,0,0,,,11019
9329,1048576,Horrific Wound,,1,0,30,FALSE,0,5,5,,,11022
9388,1048576,In Malekith's Name!,,3,15,0,FALSE,0,60,0,,,11045
9330,1048576,Juggernaut,,0,0,45,FALSE,0,60,0,,,11023
9386,1048576,Khaine's Warding,,2,15,0,FALSE,0,60,0,,,11043
9358,1048576,Malekith's Bulwark,,0,0,0,FALSE,0,0,0,,,22702
9317,1048576,Mind Killer,,3,0,35,FALSE,0,0,5,,,11010
9323,1048576,Monstrous Rending,,1,0,0,FALSE,0,0,0,,,11016
9365,1048576,Monstrous Ruin,,1,3,0,FALSE,0,0,0,,,22694
9320,1048576,Murderous Wrath,,1,0,40,FALSE,0,0,5,,,11013
9345,1048576,None Shall Pass,,2,5,20,TRUE,10,30,0,,,11034
9356,1048576,Pitiless Feeding,,0,0,0,FALSE,0,0,0,,,22701
9335,1048576,Pitiless Strike,,1,0,0,FALSE,0,0,5,,,11028
9337,1048576,Shatter Enchantment,,0,0,25,FALSE,0,5,5,,,11030
9336,1048576,Shield of Rage,,3,0,0,FALSE,0,10,0,,,11037
9372,1048576,Shielding Anger,,3,11,0,FALSE,0,0,0,,,22694
9361,1048576,Simmering Anger,,0,0,0,FALSE,0,0,0,,,22704
9373,1048576,Soul Killer,,3,7,0,FALSE,0,0,0,,,22701
9321,1048576,Spiteful Slam,,2,0,25,FALSE,0,20,5,,,11014
9360,1048576,Swift Fury,,0,0,0,FALSE,0,0,0,,,22694
9322,1048576,Taunt,,0,0,20,FALSE,0,15,65,,,11015
9354,1048576,Terrifying Foe,,2,3,0,FALSE,0,0,0,,,22694
9355,1048576,Thirst For Death,,0,0,0,FALSE,0,0,0,,,22709
9314,1048576,Throw Dagger,,0,0,20,FALSE,1,0,65,,,11007
9371,1048576,Unstoppable Fury,,3,3,0,FALSE,0,0,0,,,22704
9348,1048576,Wave of Scorn,,2,13,55,FALSE,0,20,0,,,11029
