abilityID,classID,name,type,masteryPathID,masteryRank,apCost,channeled,castTime,cooldown,range,buffType,tooltipText,iconID
9104,131072,Acid Arrow,,1,0,35,FALSE,2,5,100,,,13324
9090,131072,Assault Stance,,0,0,0,FALSE,0,5,0,,,13404
9111,131072,Barrage,,3,5,35,FALSE,0,10,0,,,13337
9123,131072,Blood-Soaked War,,0,0,0,FALSE,0,0,0,,,22696
14406,131072,Bolster War Engine,,0,0,0,FALSE,0,30,100,,,23411
9084,131072,Broadhead Arrow,,3,0,25,FALSE,0,0,65,,,13309
9086,131072,Brutal Assault,,2,0,35,FALSE,0,5,5,,,13402
9117,131072,Bullseye,,0,0,0,FALSE,0,0,0,,,22709
9099,131072,Counterstrike,,2,0,25,FALSE,0,20,5,,,13323
14408,131072,Diminish War Engine,,0,0,0,FALSE,0,30,100,,,23406
9122,131072,Distracting Rebounds,,0,0,0,FALSE,0,0,0,,,22697
9089,131072,Distracting Shot,,0,0,20,FALSE,0,15,100,,,13403
9091,131072,Draw Blood,,2,0,25,FALSE,0,0,5,,,13405
9082,131072,Eagle Eye,,1,0,40,FALSE,2,0,100,,,13322
9126,131072,Enchanted Arrows,,1,7,0,FALSE,0,0,0,,,22698
9108,131072,Exploit Weakness,,2,13,25,FALSE,0,20,5,,,13409
9096,131072,Eye Shot,,3,0,20,FALSE,1,20,65,,,13325
9105,131072,Fell The Weak,,1,13,35,FALSE,0,10,100,,,13313
9085,131072,Festering Arrow,,1,9,30,FALSE,3,5,100,,,13401
9088,131072,Flame Arrow,,1,0,40,FALSE,0,10,80,,,13326
9110,131072,Flanking Shot,,3,13,25,FALSE,0,10,65,,,13329
9103,131072,Glass Arrow,,1,5,30,FALSE,0,5,100,,,13311
9083,131072,Grim Slash,,2,0,35,FALSE,0,0,5,,,13400
9127,131072,Guerrilla Training,,1,11,0,FALSE,0,0,0,,,22697
14407,131072,Hamper War Engine,,0,0,0,FALSE,0,30,100,,,23409
9148,131072,Hunter's Fervor,,0,0,25,FALSE,0,60,0,,,13302
9139,131072,Instill Fear,,0,0,0,FALSE,0,60,0,,,13336
9121,131072,Instinctive Aim,,0,0,0,FALSE,0,0,0,,,22694
9133,131072,Keen Arrowheads,,3,7,0,FALSE,0,0,0,,,22702
9128,131072,Leading Shots,,0,0,0,FALSE,0,0,0,,,22697
9100,131072,Lileath's Arrow,,3,0,40,FALSE,2,0,0,,,13307
9137,131072,Lileath's Forgiveness,,0,0,0,FALSE,0,60,0,,,13334
9129,131072,Merciless Soldier,,2,11,0,FALSE,0,0,0,,,22708
9120,131072,No Quarter,,1,3,0,FALSE,0,0,0,,,22709
9131,131072,No Respite,,2,7,0,FALSE,0,0,0,,,22702
9098,131072,Opportunistic Strike,,2,0,20,FALSE,0,30,5,,,13319
9138,131072,Outrider Patrol,,0,0,0,FALSE,0,60,100,,,13335
9144,131072,Penetrating Arrow,,3,15,0,FALSE,0,60,0,,,13339
9132,131072,Powerful Draw,,3,11,0,FALSE,0,0,0,,,22697
9142,131072,Rain of Steel,,1,15,0,TRUE,10,60,100,,,13337
9101,131072,Rapid Fire,,1,0,25,TRUE,3,7,100,,,13314
9118,131072,Replenishing Strikes,,0,0,0,FALSE,0,0,0,,,22708
9080,131072,Scout Stance,,0,0,0,FALSE,0,5,0,,,13398
9109,131072,Shadow Sting,,3,9,30,FALSE,0,0,65,,,13317
9130,131072,Sinister Assault,,2,3,0,FALSE,0,0,0,,,22698
9094,131072,Skirmish Stance,,0,0,0,FALSE,0,5,0,,,13407
9119,131072,Smoldering Arrows,,0,0,0,FALSE,0,0,0,,,22697
9093,131072,Spiral-Fletched Arrow,,3,0,25,FALSE,1,0,65,,,13406
9134,131072,Split Arrows,,3,3,0,FALSE,0,0,0,,,22694
9097,131072,Steady Aim,,0,0,25,FALSE,0,30,0,,,13308
9107,131072,Sweeping Slash,,2,9,35,FALSE,0,10,0,,,13331
9106,131072,Swift Strikes,,2,5,20,TRUE,3,13,5,,,13330
9087,131072,Takedown,,3,0,25,FALSE,1,15,65,,,13310
9095,131072,Throat Shot,,1,0,25,FALSE,1,30,100,,,13408
9081,131072,Vengeance of Nagarythe,,0,0,35,FALSE,0,30,0,,,13399
9092,131072,Whirling Pin,,0,0,0,FALSE,0,30,0,,,13321
9143,131072,Whirling Rage,,2,15,0,FALSE,0,60,0,,,13338
9116,131072,Wrist Slash,,0,0,0,FALSE,0,0,0,,,22704
