abilityID,classID,name,type,masteryPathID,masteryRank,apCost,channeled,castTime,cooldown,range,buffType,tooltipText,iconID
1700,16,'Ave Another One,,0,0,0,FALSE,0,0,0,,,22704
1687,16,Arm Breaka,,1,5,25,FALSE,0,10,5,,,2527
1718,16,Big Brawlin',,3,7,0,FALSE,0,0,0,,,22701
1680,16,Big Slash,,1,0,40,FALSE,0,10,0,,,2562
1672,16,Big Swing,,3,0,50,FALSE,0,0,0,,,2557
1702,16,Bring 'Em On,,0,0,0,FALSE,0,0,0,,,22708
1704,16,Can Youz Hear Me Now?,,0,0,0,FALSE,0,0,0,,,22702
1692,16,Can't Hit Me!,,2,13,15,TRUE,20,0,0,,,2567
1728,16,Cant' Touch Us,,2,15,0,FALSE,0,60,0,,,2573
1679,16,Challenge,,0,0,30,FALSE,0,30,0,,,2422
1734,16,Changin' Da Plan,,0,0,0,FALSE,0,5,250,,,2445
1664,16,Clobber,,2,0,35,FALSE,0,0,5,,,2497
1678,16,Da Big Un',,3,0,0,FALSE,0,0,0,,,2561
1668,16,Da Biggest!,,1,0,55,FALSE,0,0,0,,,2554
1675,16,Da Greenest,,3,0,55,FALSE,0,0,0,,,2559
1673,16,Da Toughest!,,2,0,55,FALSE,0,0,0,,,2400
1703,16,Dat Was Great!,,0,0,0,FALSE,0,0,0,,,22694
1722,16,Deafening Bellow!,,0,0,0,FALSE,0,60,0,,,2453
14418,16,Deflect Oil,,0,0,0,FALSE,0,30,0,,,23405
1688,16,Down Ya Go,,2,9,0,FALSE,0,20,5,,,2528
1667,16,Follow 'me Lead,,3,0,35,FALSE,0,0,5,,,2553
1684,16,Get 'Em,,0,0,25,FALSE,0,60,0,,,2529
1705,16,Good Wif Shield,,0,0,0,FALSE,0,0,0,,,22702
1712,16,Gork Smash!,,1,7,0,FALSE,0,0,0,,,22707
1713,16,Guud at Big Choppin!,,1,11,0,FALSE,0,0,0,,,22702
1685,16,Hold The Line!,,0,0,20,TRUE,12,0,0,,,2428
1740,16,Juggernaut,,0,0,45,FALSE,0,60,0,,,2441
1711,16,Keep It Goin'!,,1,3,0,FALSE,0,0,0,,,22702
1714,16,Less Stabbin' Me,,2,3,0,FALSE,0,0,0,,,22702
1665,16,Lob Choppa,,0,0,20,FALSE,1,0,65,,,2551
1701,16,Lookin' For Opp'tunity,,0,0,0,FALSE,0,0,0,,,22696
1706,16,Loudmouth,,0,0,0,FALSE,0,0,0,,,22701
14419,16,Modify War Engine,,0,0,0,FALSE,0,30,65,,,23413
1716,16,Mor' Hardcore,,2,11,0,FALSE,0,0,0,,,22708
1719,16,No Choppin' Me,,3,11,0,FALSE,0,0,0,,,22702
1691,16,Not in da face!,,1,9,0,FALSE,0,20,5,,,2566
260,16,Plan target Switch,,0,0,0,FALSE,0,0,0,,,147
1727,16,Puddle o Muck,,1,15,0,FALSE,0,60,0,,,2572
1721,16,Quit Yer Squabblin',,0,0,0,FALSE,0,60,0,,,2570
1682,16,Right in Da Jibblies,,2,0,35,FALSE,0,10,5,,,2419
1694,16,Rock 'Ard,,3,9,35,FALSE,0,10,5,,,2401
1674,16,Save Da Runts,,0,0,0,FALSE,0,0,150,,,2558
1677,16,Savin' Me Hide,,2,0,0,FALSE,0,0,5,,,2499
1733,16,Shatter Enchantment,,0,0,25,FALSE,0,5,5,,,2497
1683,16,Shut Yer Face,,3,0,0,FALSE,0,20,5,,,2457
1676,16,Skull Thumper,,1,0,0,FALSE,0,0,5,,,2560
1715,16,Stop Hittin' Da Runts,,2,7,0,FALSE,0,0,0,,,22704
1689,16,T'ree Hit Combo,,1,13,0,TRUE,3,8,5,,,2564
1671,16,Taunt,,0,0,20,FALSE,0,15,65,,,2556
1670,16,Trip 'Em Up,,1,0,35,FALSE,0,0,5,,,2526
1669,16,Tuffer 'n Nails,,2,0,30,FALSE,0,0,5,,,2555
1695,16,WAAAAAAAGH!,,3,13,0,FALSE,0,5,0,,,2569
1723,16,Walk it off!,,0,0,0,FALSE,0,60,0,,,2571
1693,16,We'z Bigger,,3,5,45,FALSE,0,20,5,,,2568
1681,16,Where You Going?,,0,0,30,FALSE,0,60,0,,,2563
1666,16,Wot armor?,,1,0,30,FALSE,0,0,5,,,2552
1690,16,Ya Missed Me,,2,5,25,FALSE,0,20,5,,,2565
1729,16,Yer Nothin,,3,15,0,FALSE,0,60,0,,,2574
1717,16,You Got Nuffin',,3,3,0,FALSE,0,0,0,,,22706
1707,16,Youz see me blok' dat'?!,,0,0,0,FALSE,0,0,0,,,22702
