abilityID,position,text
1383,1,Costs 15 Grudge
1383,2,Requires 5 points in Path of Vengeance
1381,1,Costs 20 Grudge
1381,2,Requires 9 points in Path of Stone
1365,1,Costs 25 Grudge
1425,1,Requires 15 points in Path of Vengeance
1358,1,Improves with Grudge
1426,1,Requires 15 points in Path of Brotherhood
1387,1,Improves with Grudge
1387,2,Requires 9 points in Path of Brotherhood
1373,1,Costs 40 Grudge
1385,1,Improves with Grudge
1385,2,Requires Great Weapon
1385,3,Requires 13 points in Path of Vengeance
1388,1,Requires 13 points in Path of Brotherhood
1363,1,Only usable on other players
1378,1,Requires Shield
1364,1,Improves with Grudge
1362,1,Improves with Grudge
1380,1,Costs 15 Grudge
1380,2,Requires 5 points in Path of Stone
1382,1,Improves with Grudge
1382,2,Requires Shield
1382,3,Requires 13 points in Path of Stone
1366,1,Improves with Grudge
1386,1,Costs 30 Grudge
1386,2,Requires 5 points in Path of Brotherhood
1369,1,Requires Shield
1369,2,Requires Block or Parry
1361,1,Costs 25 Grudge
1361,2,Requires Shield
1371,1,Improves with Grudge
1424,1,Requires 15 points in Path of Stone
1357,1,Costs 10 Grudge
1367,1,Costs 5 Grudge
1372,1,Costs 15 Grudge
