abilityID,classID,name,type,masteryPathID,masteryRank,apCost,channeled,castTime,cooldown,range,buffType,tooltipText,iconID
9396,2097152,Agile Escape,,0,0,0,FALSE,0,30,5,,,10905
9408,2097152,Agonizing Wound,,3,0,35,FALSE,0,0,5,,,10979
9433,2097152,Baneful Touch,,0,0,0,FALSE,0,0,0,,,22708
9424,2097152,Black Lotus Blade,,2,9,30,FALSE,0,10,5,,,10986
9464,2097152,Blade Spin,,1,15,0,FALSE,0,60,0,,,10991
9444,2097152,Broad Severing,,1,11,0,FALSE,0,0,0,,,22694
9458,2097152,Dance of Doom,,0,0,0,TRUE,3,60,5,,,10988
9459,2097152,Death Reaper,,0,0,0,FALSE,0,60,0,,,10963
9423,2097152,Elixir of Blades,,2,5,25,FALSE,0,60,0,,,10985
9420,2097152,Elixir of Insane Power,,1,5,25,FALSE,0,60,0,,,10901
9426,2097152,Elixir of the Cauldron,,3,5,25,FALSE,0,60,0,,,10987
9392,2097152,Enchanting Beauty,,0,0,20,FALSE,0,30,0,,,10968
9401,2097152,Enfeebling Strike,,2,0,0,FALSE,0,0,5,,,10973
9448,2097152,Enveloping Shadows,,2,11,0,FALSE,0,0,0,,,22706
9403,2097152,Envenomed Blade,,2,0,35,FALSE,0,0,5,,,10975
9436,2097152,Exotic Venom,,0,0,0,FALSE,0,0,0,,,22709
9397,2097152,Feinted Positioning,,0,0,25,FALSE,0,60,65,,,5170
9395,2097152,Fleet-Footed,,0,0,45,FALSE,0,60,0,,,10970
9465,2097152,Fling Poison,,2,15,0,FALSE,0,60,0,,,10992
9435,2097152,For the Hag Queen!,,0,0,0,FALSE,0,0,0,,,22708
9434,2097152,Frenzied Mayhem,,0,0,0,FALSE,0,0,0,,,22704
9404,2097152,Heart Render Toxin,,2,0,35,FALSE,0,0,30,,,10976
9427,2097152,Heart Seeker,,3,9,25,FALSE,0,20,5,,,5203
9450,2097152,Increased Pain,,3,7,0,FALSE,0,0,0,,,22701
9402,2097152,Kiss of Agony,,1,0,20,FALSE,0,10,5,,,10974
9412,2097152,Kiss of Betrayal,,3,0,20,FALSE,0,10,5,,,10982
9407,2097152,Kiss of Death,,2,0,20,FALSE,0,10,5,,,11006
9446,2097152,Kiss of Doom,,2,7,0,FALSE,0,0,0,,,22694
9451,2097152,Masterful Treachery,,3,11,0,FALSE,0,0,0,,,22701
9422,2097152,On Your Knees!,,1,13,35,FALSE,0,10,30,,,10984
9466,2097152,Overwhelming Dread,,3,15,0,FALSE,0,60,0,,,10993
9421,2097152,Pierce Armor,,1,9,35,FALSE,0,10,5,,,10983
9410,2097152,Puncture,,3,0,35,FALSE,0,0,30,,,10980
9399,2097152,Ruthless Assault,,1,0,15,TRUE,3,8,30,,,10904
9439,2097152,Sacrifices Rewarded,,0,0,0,FALSE,0,0,0,,,22702
9428,2097152,Sacrificial Stab,,3,13,35,FALSE,0,10,30,,,10994
9447,2097152,Septic Blade,,2,3,0,FALSE,0,0,0,,,22701
9413,2097152,Sever Blessing,,0,0,25,FALSE,0,5,5,,,2497
9400,2097152,Sever Limb,,1,0,35,FALSE,0,10,5,,,10972
9393,2097152,Shadow Prowler,,0,0,0,FALSE,2,30,0,,,10969
9443,2097152,Sharpened Edge,,1,3,0,FALSE,0,0,0,,,22698
9398,2097152,Slice,,1,0,40,FALSE,0,0,5,,,10902
9445,2097152,Swift Blades,,1,7,0,FALSE,0,0,0,,,22702
9449,2097152,Swift Movements,,3,3,0,FALSE,0,0,0,,,22709
9438,2097152,Swift Pursuit,,0,0,0,FALSE,0,0,0,,,22708
9437,2097152,Taste of Blood,,0,0,0,FALSE,0,0,0,,,22701
9409,2097152,Throat Slitter,,3,0,25,FALSE,0,20,5,,,5166
9394,2097152,Throwing Dagger,,0,0,20,FALSE,1,0,65,,,10903
9411,2097152,Treacherous Assault,,3,0,0,FALSE,0,0,5,,,10981
9406,2097152,Vehement Blades,,1,0,0,FALSE,0,0,10,,,10978
9460,2097152,Web of Shadows,,0,0,0,FALSE,0,60,0,,,10990
9432,2097152,Whirling Blades,,0,0,0,FALSE,0,0,0,,,22712
273,2097152,Witch Elf Frenzy,,0,0,0,FALSE,0,0,0,,,5203
342,2097152,Witch Elf Frenzy,,0,0,0,FALSE,0,0,0,,,5203
9425,2097152,Witchbrew,,2,13,35,FALSE,0,10,0,,,10900
9405,2097152,Wracking Pains,,2,0,35,FALSE,0,0,5,,,10977
