abilityID,classID,name,type,masteryPathID,masteryRank,apCost,channeled,castTime,cooldown,range,buffType,tooltipText,iconID
9158,262144,Axe Toss,,0,0,20,FALSE,1,0,65,,,13417
9217,262144,Baited Trap,,3,11,0,FALSE,0,0,0,,,22694
9166,262144,Baiting Strike,,3,0,30,FALSE,0,0,5,,,13425
9230,262144,Blade And Claw,,1,15,0,FALSE,0,60,0,,,13460
9161,262144,Blindside,,2,0,30,FALSE,0,5,5,,,13420
9212,262144,Blindsided!,,2,3,0,FALSE,0,0,0,,,22703
9193,262144,Brutal Pounce,,3,9,15,FALSE,0,30,150,,,13446
9159,262144,Call War Lion,,0,0,55,FALSE,1,0,0,,,13418
9203,262144,Calming Presence,,0,0,0,FALSE,0,0,0,,,22706
9184,262144,Charge!,,0,0,0,FALSE,0,30,0,,,13429
9170,262144,Cleave Limb,,3,0,30,FALSE,0,5,5,,,13430
9205,262144,Close Bond,,0,0,0,FALSE,0,0,0,,,22705
9163,262144,Coordinated Strike,,1,0,45,FALSE,0,10,5,,,13422
9190,262144,Cull The Weak,,2,9,30,FALSE,0,10,5,,,13443
9226,262144,Dominance,,0,0,0,FALSE,0,60,5,,,13459
9187,262144,Echoing Roar,,3,5,35,FALSE,0,10,0,,,13440
9224,262144,Ensnare,,0,0,0,FALSE,0,60,65,,,13457
14424,262144,Faultfinder,,0,0,0,FALSE,0,30,65,,,23408
9173,262144,Feline Grace,,0,0,45,FALSE,0,60,0,,,13433
9178,262144,Fetch!,,0,0,35,FALSE,0,30,65,,,13438
9175,262144,Fey Illusion,,2,0,40,FALSE,0,10,5,,,13435
9200,262144,Flashing Claws,,0,0,0,FALSE,0,0,0,,,22702
9225,262144,Flying Axe,,0,0,0,FALSE,0,60,0,,,13458
9192,262144,Force Opportunity,,1,9,25,FALSE,0,10,5,,,13445
9214,262144,Full-Grown,,2,11,0,FALSE,0,0,0,,,22702
9216,262144,Furious Mending,,3,7,0,FALSE,0,0,0,,,22706
9160,262144,Hack,,1,0,30,FALSE,0,0,5,,,13419
9211,262144,Hack And Slash,,1,11,0,FALSE,0,0,0,,,22708
9231,262144,Joy of the Hunt,,2,15,0,FALSE,0,60,0,,,13461
9194,262144,Leonine Frenzy,,3,13,40,FALSE,0,30,100,,,13447
9167,262144,Lion's Fury,,1,0,35,FALSE,0,5,5,,,13426
9209,262144,Lionheart,,1,3,0,FALSE,0,0,0,,,22694
9202,262144,Loner,,0,0,0,FALSE,0,0,0,,,22709
9164,262144,Nature's Bond,,0,0,30,FALSE,0,0,150,,,13423
9174,262144,Pack Assault,,3,0,30,FALSE,0,10,5,,,13434
9210,262144,Pack Hunting,,1,7,0,FALSE,0,0,0,,,22701
9198,262144,Pack Synergy,,0,0,0,FALSE,0,0,0,,,22701
9186,262144,Pounce,,1,5,30,FALSE,0,0,65,,,13439
9189,262144,Primal Fury,,2,5,45,FALSE,0,60,0,,,13442
9232,262144,Rampage,,3,15,0,FALSE,0,60,0,,,13462
9201,262144,Revenge!,,0,0,0,FALSE,0,0,0,,,22696
9171,262144,Shattering Blow,,2,0,25,FALSE,0,0,5,,,13431
14422,262144,Siege Wrecker,,0,0,0,FALSE,0,30,65,,,23416
9176,262144,Slashing Blade,,1,0,50,FALSE,0,0,0,,,13436
9199,262144,Speed Training,,0,0,0,FALSE,0,0,0,,,22703
9215,262144,Stalker,,3,3,0,FALSE,0,0,0,,,22709
9169,262144,Submission,,0,0,50,FALSE,0,10,0,,,13428
9165,262144,Sundering Chop,,2,0,35,FALSE,0,0,5,,,13424
9204,262144,Tearing Blade,,0,0,0,FALSE,0,0,0,,,22701
9191,262144,Thin The Herd,,2,13,25,FALSE,0,10,5,,,13444
9213,262144,Threatening Distraction,,2,7,0,FALSE,0,0,0,,,22709
9177,262144,Throat Bite,,3,0,20,FALSE,0,20,150,,,13437
9172,262144,Trained To Hunt,,1,0,0,FALSE,0,0,0,,,13432
9162,262144,Trained To Kill,,3,0,0,FALSE,0,0,0,,,13421
9168,262144,Trained To Threaten,,2,0,0,FALSE,0,0,0,,,13427
9188,262144,Whirling Axe,,1,13,35,TRUE,3,13,0,,,13441
