abilityID,position,statID,statScale,weaponScale,castTimeScale,levelOneValue,levelPattern
1460,1,1,2,1,1.5,48,6/6/6/12/6/12/6/6/12/6/6/12/6/6/12/6/6/12/6/6/12/6/6/12/6/6/12/6/6/12/6/6/12/6/6/12/6/6/12/6/12
1439,1,1,1,1,1.5,45,7/8
1434,1,1,1,1,1.5,15,2/3
1461,1,1,1,1,1.5,25,4/4/4/4/4/5
1461,2,0,0,0,0,4,4
1494,1,0,0,0,0,240,36/42/42
1479,1,0,0,0,0,3,3
1438,1,1,1,1,1.5,15,2/3
1446,1,0,0,0,0,1,1
1458,1,0,0,0,0,1,1
1458,2,0,0,0,0,1,1
1435,1,1,1,1,1.5,10,1/1/2
1435,2,1,1,1,1.5,20,3/3/4
1495,1,0,0,0,0,240,36/42/42
1474,1,0,0,0,0,30,5
1443,1,1,1,1,1.5,20,3/3/4
1465,1,1,0.5,1,1.5,15,2/3
1465,2,1,0.33,1.33,1.5,13,1/3/2/2/2/3/1/3/3
1501,1,0,0,0,0,160,24/28/28
1463,1,1,1,1,1.5,15,2/3
1436,1,1,1,1,1.5,45,9/6/9/9/6
1449,1,1,1,1,1.5,25,4/4/4/4/4/5
1433,1,1,1,1,1.5,25,4/4/4/4/4/5
1433,2,0,0,0,0,1,1
1448,1,0,0,0,0,20,3/3/4
1448,2,0,0,0,0,10,1/2/2
1431,1,1,0.5,1,1.5,15,2/3
1431,2,1,0.5,0,1.5,18,3/3/3/6/0/6/3/3/3/3
1450,1,1,0.1,0.15,10,30,5
1457,1,1,0.2,0.3,5,30,5
1489,1,1,1,1,1.5,50,
1464,1,1,0.5,1,1.5,10,
1432,1,1,1,1,1.5,15,
1462,1,1,1,1,1.5,30,
1437,1,1,1,1,1.5,30,
1488,1,0,0,0,0,20,
1488,2,0,0,0,0,35,
1430,1,8,1,1,1,10,
1499,1,0,0,0,0,40,
1472,1,0,0,0,0,3,3
1472,2,0,0,0,0,3,3
1447,1,1,1,1,1.5,20,
1447,2,1,1,1,1.5,28,
