abilityID,classID,name,type,masteryPathID,masteryRank,apCost,channeled,castTime,cooldown,range,buffType,tooltipText,iconID
8501,32768,Aegis of Orange Fire,,3,9,25,FALSE,0,60,0,,,5285
8500,32768,Agonizing Torrent,,3,5,45,FALSE,1,20,0,,,5289
8488,32768,Baleful Transmogrification,,1,0,45,FALSE,0,0,100,,,5307
8496,32768,Bolt of Change,,1,9,30,FALSE,3,5,150,,,5294
8516,32768,Changer's Blessing,,1,7,0,FALSE,0,0,0,,,22706
8518,32768,Chaos Unleashed,,1,11,0,FALSE,0,0,0,,,22704
8522,32768,Chaotic Attunement,,0,0,0,FALSE,0,0,0,,,22713
8499,32768,Chaotic Rift,,3,13,20,FALSE,1,30,65,,,5297
8529,32768,Conduit of Chaos,,0,0,0,FALSE,0,60,0,,,5102
8492,32768,Daemonic Armor,,0,0,35,FALSE,0,10,0,,,5309
8524,32768,Daemonic Contract,,3,7,0,FALSE,0,0,0,,,22709
8541,32768,Daemonic Infestation,,3,0,50,FALSE,0,15,65,,,5310
8472,32768,Daemonic Lash,,3,0,35,FALSE,0,0,0,,,5270
8484,32768,Daemonic Maw,,0,0,35,FALSE,0,0,5,,,5304
8523,32768,Daemonic Pact,,3,11,0,FALSE,0,0,0,,,22702
8520,32768,Daemonic Reach,,2,7,0,FALSE,0,0,0,,,22697
8490,32768,Daemonic Resistance,,3,0,55,FALSE,0,0,0,,,5306
8534,32768,Daemonic Scream,,2,15,0,FALSE,0,60,0,,,5302
8513,32768,Daemonic Withering,,0,0,0,FALSE,0,0,0,,,22706
8494,32768,Dissolving Mist,,2,13,30,FALSE,0,30,65,,,5287
8519,32768,Endless Pandemonium,,2,3,0,FALSE,0,0,0,,,22694
8517,32768,Fiery Winds,,1,3,0,FALSE,0,0,0,,,22704
8535,32768,Firewyrm of Tzeentch,,3,15,0,FALSE,0,60,0,,,5303
8507,32768,Flame's Kiss,,0,0,0,FALSE,0,0,0,,,22704
8470,32768,Flickering Red Fire,,1,0,35,FALSE,2,0,100,,,5106
8482,32768,Glean Magic,,2,0,25,FALSE,0,0,65,,,5286
8527,32768,Grasping Darkness,,0,0,0,FALSE,0,60,100,,,5301
8477,32768,Horrifying Visions,,0,0,20,FALSE,0,15,100,,,5279
8502,32768,Indigo Fire of Change,,2,9,15,TRUE,6,16,100,,,5300
8487,32768,Infernal Blast,,3,0,40,FALSE,0,10,0,,,5290
8512,32768,Infernal Flesh,,0,0,0,FALSE,0,0,0,,,22702
8510,32768,Infernal Pain,,0,0,0,FALSE,0,0,0,,,22708
8481,32768,Instability,,0,0,0,FALSE,0,60,100,,,5299
8509,32768,Lasting Chaos,,3,3,0,FALSE,0,0,0,,,22694
475,32768,Magus's Badge,,0,0,0,FALSE,0,0,0,,,99
8486,32768,Mutating Blue Fire,,1,0,45,FALSE,3,10,100,,,5149
8489,32768,Pandemonium,,2,0,45,FALSE,1,5,65,,,5312
8495,32768,Perils of The Warp,,1,5,35,FALSE,2,30,100,,,5293
8471,32768,Rend Winds,,2,0,35,FALSE,1,0,65,,,5112
8542,32768,Resummon,,0,0,60,FALSE,0,20,0,,,5311
8528,32768,Roiling Winds,,0,0,0,FALSE,0,60,100,,,5114
8497,32768,Seed of Chaos,,2,5,40,FALSE,0,10,65,,,5295
8473,32768,Shocking Jolt,,0,0,0,FALSE,0,20,65,,,5271
8533,32768,Soul Leak,,1,15,0,FALSE,0,60,100,,,5151
8476,32768,Summon Blue Horror,,0,0,55,FALSE,2,5,0,,,5276
8478,32768,Summon Flamer,,0,0,55,FALSE,2,5,0,,,5280
8474,32768,Summon Pink Horror,,0,0,55,FALSE,2,5,0,,,5272
8475,32768,Surge of Insanity,,2,0,35,FALSE,1,10,65,,,5275
8511,32768,Surging Power,,0,0,0,FALSE,0,0,0,,,22709
8479,32768,Surging Violet Fire,,1,0,35,FALSE,0,10,100,,,5283
8508,32768,Swift Flames,,0,0,0,FALSE,0,0,0,,,22703
8498,32768,Tzeentch's Firestorm,,1,13,13,TRUE,6,16,80,,,5296
8480,32768,Tzeentch's Grasp,,0,0,25,FALSE,0,30,0,,,5284
8506,32768,Unearthly Shriek,,0,0,0,FALSE,0,0,0,,,22709
8485,32768,Warpfire,,3,0,25,TRUE,3,13,0,,,5305
8483,32768,Warping Blast,,2,0,30,FALSE,1,10,65,,,5153
8521,32768,Wild Changing,,2,11,0,FALSE,0,0,0,,,22708
8491,32768,Withered Soul,,1,0,25,FALSE,0,20,100,,,5308
