abilityID,classID,name,type,masteryPathID,masteryRank,apCost,channeled,castTime,cooldown,range,buffType,tooltipText,iconID
9304,524288,Arcane Suppression,,0,0,0,FALSE,0,60,0,,,13368
9295,524288,Arcing Power,,3,7,0,FALSE,0,0,0,,,22706
9257,524288,Balance Essence,,3,0,30,FALSE,2,0,100,,,13463
9287,524288,Balanced Mending,,1,3,0,FALSE,0,0,0,,,22706
9245,524288,Blessing of Isha,,1,0,65,FALSE,3,0,0,,,13349
9303,524288,Blinding Light,,0,0,0,FALSE,0,60,100,,,13367
9288,524288,Bolstering Boon,,1,7,0,FALSE,0,0,0,,,22708
9242,524288,Boon of Hysh,,1,0,45,FALSE,2,0,150,,,13346
14415,524288,Cleanse War Engine,,0,0,0,FALSE,0,20,100,,,23404
9266,524288,Cleansing Flare,,2,5,25,FALSE,2,20,100,,,13362
9244,524288,Cleansing Light,,1,0,35,FALSE,0,5,150,,,13348
9283,524288,Desperation,,0,0,0,FALSE,0,0,0,,,22706
9290,524288,Dispel Magic,,2,7,0,FALSE,0,0,0,,,22704
9271,524288,Dissipating Energies,,2,13,50,FALSE,2,60,100,,,13412
9256,524288,Dissipating Hatred,,0,0,20,FALSE,0,15,100,,,13358
9249,524288,Drain Magic,,0,0,50,FALSE,0,10,100,,,13353
9276,524288,Empowered Lores,,0,0,0,FALSE,0,0,0,,,22703
9274,524288,Energy of Vaul,,3,13,35,FALSE,2,5,80,,,11010
9291,524288,Expanded Control,,3,3,0,FALSE,0,0,0,,,22709
9309,524288,Flames of the Phoenix,,2,15,0,TRUE,4,60,100,,,13415
9289,524288,Forked Lancing,,2,3,0,FALSE,0,0,0,,,22703
9310,524288,Funnel Energy,,3,15,0,FALSE,0,60,0,,,13459
9258,524288,Funnel Essence,,1,13,20,TRUE,3,13,150,,,13347
9267,524288,Fury of Asuryan,,2,0,35,FALSE,1,5,65,,,13363
9246,524288,Gift of Life,,0,0,20,FALSE,3,6,100,,,13350
9292,524288,Golden Aura,,3,11,0,FALSE,0,0,0,,,22713
9236,524288,Healing Energy,,1,0,55,FALSE,1,0,150,,,13340
332,524288,High Magic,,0,0,0,FALSE,0,0,0,,,13306
333,524288,High Magic,,0,0,0,FALSE,0,0,0,,,13306
9279,524288,Hurried Restore,,0,0,0,FALSE,0,0,0,,,22703
9294,524288,Increased Conductivity,,2,11,0,FALSE,0,0,0,,,22694
9277,524288,Isha's Encouragement,,0,0,0,FALSE,0,0,0,,,22705
9302,524288,Isha's Ward,,0,0,0,FALSE,0,60,0,,,13366
9238,524288,Lambent Aura,,0,0,30,FALSE,0,0,150,,,13342
9252,524288,Law of Age,,3,0,20,FALSE,0,0,100,,,13356
9239,524288,Law of Conductivity,,2,0,30,FALSE,0,0,100,,,13343
9253,524288,Law of Gold,,3,9,25,FALSE,1,30,100,,,13357
9272,524288,Magical Infusion,,1,9,55,FALSE,0,60,100,,,13413
9280,524288,Master of Force,,0,0,0,FALSE,0,0,0,,,22704
9278,524288,Master of Tranquility,,0,0,0,FALSE,0,0,0,,,22706
9251,524288,Mistress of The Marsh,,1,5,20,FALSE,0,20,100,,,13355
9248,524288,Prismatic Shield,,1,0,55,FALSE,0,0,0,,,13352
9264,524288,Radiant Gaze,,2,0,40,FALSE,0,5,100,,,13360
9237,524288,Radiant Lance,,2,0,30,FALSE,2,0,100,,,13341
9240,524288,Rain Lord,,3,0,30,FALSE,0,10,100,,,13344
14414,524288,Reinforce War Engine,,0,0,0,FALSE,0,30,100,,,23414
9282,524288,Run Between Worlds,,0,0,0,FALSE,0,0,0,,,22694
9247,524288,Scatter The Winds,,2,9,25,FALSE,0,10,100,,,13351
9250,524288,Searing Touch,,2,0,13,TRUE,6,11,100,,,13354
9268,524288,Shield of Saphery,,3,0,35,FALSE,0,20,150,,,13364
14416,524288,Shield the Skies,,0,0,0,FALSE,0,30,0,,,23415
9269,524288,Storm of Cronos,,3,5,45,FALSE,0,30,0,,,13365
9241,524288,Transfer Force,,3,0,40,FALSE,0,10,100,,,13345
9281,524288,Transfer Magic,,0,0,0,FALSE,0,0,0,,,22708
9265,524288,Walk Between Worlds,,0,0,30,FALSE,0,30,0,,,13361
9293,524288,Wild Healing,,1,11,0,FALSE,0,0,0,,,22706
9255,524288,Wind Blast,,0,0,40,FALSE,0,60,0,,,13359
9308,524288,Winds' Protection,,1,15,0,FALSE,0,60,0,,,13414
