abilityID,classID,name,type,masteryPathID,masteryRank,apCost,channeled,castTime,cooldown,range,buffType,tooltipText,iconID
8429,8192,Brush Off,,0,0,0,FALSE,0,0,0,,,22702
240,8192,Charge!,,0,0,0,FALSE,0,30,0,,,5313
8423,8192,Concussive Jolt,,3,9,30,FALSE,0,20,0,,,5204
8406,8192,Convulsive Slashing,,2,0,25,TRUE,3,8,5,,,5201
8441,8192,Corrupted Edge,,2,3,0,FALSE,0,0,0,,,22701
8400,8192,Corruption,,1,0,25,FALSE,0,0,5,,,5209
8446,8192,Crushing Blows,,3,11,0,FALSE,0,0,0,,,22696
8418,8192,Cutting Claw,,1,9,25,FALSE,0,10,5,,,5196
8440,8192,Deadly Clutch,,1,11,0,FALSE,0,0,0,,,22706
8405,8192,Death Grip,,0,0,20,FALSE,0,5,5,,,5200
8396,8192,Debilitate,,2,0,25,FALSE,0,10,5,,,5191
8431,8192,Deeply Impaled,,0,0,0,FALSE,0,0,0,,,22701
8409,8192,Demolition,,3,0,35,FALSE,0,0,0,,,5199
8419,8192,Draining Swipe,,1,13,30,FALSE,0,20,5,,,5222
8456,8192,Energy Ripple,,3,15,0,FALSE,0,60,0,,,5208
8439,8192,Exhaustive Strikes,,1,7,0,FALSE,0,0,0,,,22708
8432,8192,Feeding On Fear,,0,0,0,FALSE,0,0,0,,,22696
8411,8192,Ferocious Assault,,3,0,15,FALSE,0,60,0,,,5171
8392,8192,Flail,,3,0,30,FALSE,0,0,5,,,5187
8449,8192,Flames of Fate,,0,0,0,FALSE,0,60,65,,,5206
8455,8192,Forked Aggression,,2,15,0,FALSE,0,60,0,,,5230
8398,8192,Gift of Brutality,,0,0,0,FALSE,0,5,0,,,5193
8403,8192,Gift of Monstrosity,,0,0,0,FALSE,0,5,0,,,5198
8415,8192,Gift of Release,,0,0,0,FALSE,0,5,0,,,5215
8394,8192,Gift of Savagery,,0,0,0,FALSE,0,5,0,,,5189
8450,8192,Great Fang,,0,0,0,FALSE,0,60,0,,,5207
8442,8192,Growing Instability,,2,7,0,FALSE,0,0,0,,,22709
8420,8192,Guillotine,,2,5,35,FALSE,0,10,5,,,5223
8414,8192,Gut Ripper,,1,0,40,FALSE,0,10,5,,,5219
8444,8192,Hulking Brute,,3,3,0,FALSE,0,0,0,,,22702
8399,8192,Impale,,2,0,25,FALSE,0,0,5,,,5194
8445,8192,Insane Whispers,,3,7,0,FALSE,0,0,0,,,22704
8454,8192,Lashing Power,,1,15,0,FALSE,0,60,0,,,5229
478,8192,Marauder's Badge,,0,0,0,FALSE,0,0,0,,,99
8397,8192,Mouth of Tzeentch,,3,0,30,FALSE,0,10,0,,,5192
8421,8192,Mutated Aggressor,,2,9,40,FALSE,0,60,0,,,5224
8412,8192,Mutated Energy,,3,0,25,FALSE,0,10,100,,,5220
8408,8192,Mutating Release,,0,0,45,FALSE,0,60,0,,,5267
8435,8192,Piercing Bite,,0,0,0,FALSE,0,0,0,,,22698
8413,8192,Pulverize,,2,0,35,FALSE,0,20,5,,,5218
8395,8192,Rend,,1,0,30,FALSE,0,0,5,,,5190
8430,8192,Rend Asunder,,0,0,0,FALSE,0,0,0,,,22694
8438,8192,Scything Talons,,1,3,0,FALSE,0,0,0,,,22701
8428,8192,Subvert Strength,,0,0,0,FALSE,0,0,0,,,22708
8401,8192,Tainted Claw,,1,0,30,FALSE,0,5,5,,,5216
8410,8192,Terrible Embrace,,0,0,35,FALSE,2,30,65,,,5205
8393,8192,Throw Axe,,0,0,20,FALSE,1,0,65,,,5214
8424,8192,Thunderous Blow,,1,5,35,FALSE,0,5,5,,,5226
8407,8192,Touch of Instability,,2,0,25,FALSE,0,20,5,,,5202
8404,8192,Touch of Rot,,1,0,25,FALSE,0,20,5,,,5195
8451,8192,Tzeentch's Reversal,,0,0,0,FALSE,0,60,5,,,5228
8433,8192,Unending Horror,,0,0,0,FALSE,0,0,0,,,22694
8443,8192,Unstable Convulsions,,2,11,0,FALSE,0,0,0,,,22704
8402,8192,Wave of Horror,,0,0,50,FALSE,0,10,0,,,5197
8417,8192,Wave of Mutilation,,3,5,45,FALSE,0,20,0,,,5221
8422,8192,Wave of Terror,,2,13,45,FALSE,0,10,0,,,5225
8434,8192,Widespread Demolition,,0,0,0,FALSE,0,0,0,,,22704
8425,8192,Wrecking Ball,,3,13,30,TRUE,3,13,0,,,5227
