abilityID,classID,name,type,masteryPathID,masteryRank,apCost,channeled,castTime,cooldown,range,buffType,tooltipText,iconID
9501,8388608,Absorb Vitality,,2,13,30,FALSE,0,20,100,,,10926
9479,8388608,Arctic Blast,,1,0,30,FALSE,2,10,100,,,10924
9506,8388608,Black Horror,,3,5,40,FALSE,3,0,80,,,11001
9528,8388608,Chilling Gusts,,2,11,0,FALSE,0,0,0,,,22704
9471,8388608,Chillwind,,2,0,35,FALSE,0,0,100,,,10996
9543,8388608,Crippling Terror,,2,15,0,FALSE,0,60,100,,,10933
9473,8388608,Daemonic Chill,,2,0,30,FALSE,0,0,0,,,11005
287,8388608,Dark Magic,,0,0,0,FALSE,0,0,0,,,5198
9538,8388608,Darkstar Cloak,,0,0,0,FALSE,0,60,0,,,10931
9490,8388608,Dhar Wind,,0,0,0,FALSE,1,5,100,,,10962
9536,8388608,Dire Blast,,0,0,0,FALSE,0,60,100,,,10929
9503,8388608,Disastrous Cascade,,3,9,15,TRUE,3,8,0,,,10928
9470,8388608,Doombolt,,1,0,30,FALSE,3,0,100,,,10995
9474,8388608,Dread Aspect,,0,0,20,FALSE,0,15,100,,,10998
9498,8388608,Echo of Power,,1,5,35,FALSE,0,5,100,,,10923
9510,8388608,Empowered Dhar,,0,0,0,FALSE,0,0,0,,,22712
9482,8388608,Frostbite,,1,0,20,FALSE,1,30,100,,,10915
9517,8388608,Frozen Fury,,0,0,0,FALSE,0,0,0,,,22709
9476,8388608,Frozen Touch,,1,0,30,FALSE,0,0,0,,,10909
9500,8388608,Gloom of Night,,2,5,30,FALSE,2,10,80,,,10925
9472,8388608,Gloomburst,,1,0,40,FALSE,1,5,100,,,10907
9516,8388608,Glorious Carnage,,0,0,0,FALSE,0,0,0,,,22704
9512,8388608,Grasping Darkness,,0,0,0,FALSE,0,0,0,,,22704
9477,8388608,Grip of Fear,,0,0,25,FALSE,0,30,0,,,10910
9505,8388608,Hand of Ruin,,2,9,13,TRUE,6,11,100,,,11000
9515,8388608,Hastened Fear,,0,0,0,FALSE,0,0,0,,,22696
9486,8388608,Ice Spikes,,2,0,35,FALSE,0,0,0,,,10919
9499,8388608,Impending Doom,,1,9,40,FALSE,0,10,100,,,10912
9511,8388608,Infernal Gift,,0,0,0,FALSE,0,0,0,,,22708
9488,8388608,Infernal Wave,,3,0,40,FALSE,0,10,0,,,10921
9526,8388608,Lengthening Shadows,,3,7,0,FALSE,0,0,0,,,22694
9513,8388608,Manic Obsession,,0,0,0,FALSE,0,0,0,,,22694
9529,8388608,Neverending Agony,,3,11,0,FALSE,0,0,0,,,22704
9481,8388608,Obsessive Focus,,0,0,20,FALSE,0,60,100,,,10914
9544,8388608,Paralyzing Nightmares,,3,15,0,FALSE,0,60,0,,,10934
9525,8388608,Piercing Shadows,,3,3,0,FALSE,0,0,0,,,22696
9485,8388608,Pit of Shades,,3,0,10,TRUE,10,20,80,,,10927
9487,8388608,Reckless Gathering,,0,0,0,FALSE,0,20,0,,,10920
9521,8388608,Recover Energy,,1,3,0,FALSE,0,0,0,,,22708
9504,8388608,Shades of Death,,1,13,30,FALSE,0,5,100,,,10999
9502,8388608,Shadow Knives,,3,13,20,TRUE,6,16,80,,,10918
9524,8388608,Shadow of Disaster,,2,7,0,FALSE,0,0,0,,,22697
9480,8388608,Shattered Shadows,,3,0,40,FALSE,3,0,80,,,10913
9484,8388608,Shroud of Darkness,,0,0,20,FALSE,0,60,0,,,10917
9542,8388608,Soul Stealer,,1,15,0,FALSE,0,60,100,,,10932
9489,8388608,Stricken Voices,,3,0,25,FALSE,0,30,80,,,10922
9483,8388608,Surging Pain,,3,0,0,FALSE,0,0,0,,,10916
9527,8388608,Swell of Gloom,,1,11,0,FALSE,0,0,0,,,22704
9522,8388608,Tapping The Dark,,1,7,0,FALSE,0,0,0,,,22702
9514,8388608,Triumphant Blasting,,0,0,0,FALSE,0,0,0,,,22708
9523,8388608,Vision of Domination,,2,3,0,FALSE,0,0,0,,,22706
9478,8388608,Vision of Torment,,2,0,35,FALSE,0,0,100,,,10911
9537,8388608,Wind-Woven Shell,,0,0,0,FALSE,0,60,0,,,10930
9475,8388608,Word of Pain,,2,0,25,FALSE,0,10,100,,,10908
